Date,Product_Name,Units_sold,Price,Revenue,Costs_Of_Goods,Marketing_Cost,Logistic_Cost,Other_Cost,Total_Cost,Net_Profit,Operating_Expenses,Initial_Investment,Current_Cash
2020-03-27,product103,8,22938,183504,99920,6566,6628,5330,118444,65060,16715,10000000,50000
2020-01-26,product104,5,31706,158530,95367,4423,11940,5288,117018,41512,16086,10000000,50000
2020-04-11,product105,3,39898,119694,73196,2581,7090,3666,86533,33161,10314,10000000,50000
2020-08-24,product106,10,67877,678770,416974,17681,38192,14519,487366,191404,81313,10000000,50000
2020-02-08,product107,9,33630,302670,161346,11572,21226,10104,204248,98422,38486,10000000,50000
2020-05-16,product108,9,13543,121887,83607,3989,3688,4819,96103,25784,14898,10000000,50000
2020-10-14,product109,7,74268,519876,343646,7974,20230,11043,382893,136983,59523,10000000,50000
2020-05-21,product110,8,47512,380096,231571,8304,16785,15866,272526,107570,36124,10000000,50000
2020-07-02,product111,7,74537,521759,353954,8047,15673,14354,392028,129731,57350,10000000,50000
2020-11-14,product112,1,15840,15840,10443,648,476,360,11927,3913,1432,10000000,50000
2020-07-15,product113,1,53099,53099,27463,2341,3528,1082,34414,18685,4647,10000000,50000
2020-08-13,product114,9,43537,391833,210845,9427,19101,14229,253602,138231,27911,10000000,50000
2020-05-10,product115,2,8390,16780,10746,269,1107,458,12580,4200,1368,10000000,50000
2020-08-19,product116,8,49106,392848,241230,11194,28353,18054,298831,94017,42660,10000000,50000
2020-02-14,product117,6,37604,225624,145328,7166,9973,9807,172274,53350,23946,10000000,50000
2020-02-27,product118,1,24244,24244,16513,876,820,1187,19396,4848,3504,10000000,50000
2020-01-23,product119,3,99381,298143,170201,6489,15005,10722,202417,95726,27285,10000000,50000
2020-06-30,product120,5,80335,401675,281155,9262,25185,8133,323735,77940,57724,10000000,50000
2020-03-05,product121,7,39339,275373,182424,9540,16039,11273,219276,56097,39410,10000000,50000
2020-01-25,product122,9,56887,511983,288895,11043,17350,21326,338614,173369,52929,10000000,50000
2020-10-30,product123,1,14731,14731,9254,274,966,717,11211,3520,1603,10000000,50000
2020-02-20,product124,1,32586,32586,19524,770,2510,1410,24214,8372,4310,10000000,50000
2020-02-13,product125,6,54347,326082,196405,15707,14207,9747,236066,90016,32165,10000000,50000
2020-06-15,product126,9,23395,210555,122556,3344,13891,7888,147679,62876,15022,10000000,50000
2020-09-01,product127,7,49381,345667,226090,9800,18608,16998,271496,74171,52975,10000000,50000
2020-01-28,product128,2,18012,36024,22723,1131,2004,1104,26962,9062,3503,10000000,50000
2020-03-25,product129,2,11177,22354,12389,530,1050,816,14785,7569,2644,10000000,50000
2020-07-12,product130,5,96324,481620,281306,17126,33664,11730,343826,137794,65020,10000000,50000
2020-06-03,product131,4,36157,144628,88088,4396,8139,5922,106545,38083,16106,10000000,50000
2020-12-14,product132,9,11019,99171,53419,2601,5310,3798,65128,34043,9521,10000000,50000
2020-08-09,product133,6,76815,460890,287667,9052,18683,10190,325592,135298,60511,10000000,50000
2020-08-02,product134,2,88230,176460,105982,4727,10841,7675,129225,47235,14469,10000000,50000
2020-07-01,product135,1,31659,31659,18448,540,2071,1072,22131,9528,3396,10000000,50000
2020-10-09,product136,6,95126,570756,363601,22046,36978,19815,442440,128316,83744,10000000,50000
2020-06-12,product137,1,90910,90910,55480,1685,2912,4536,64613,26297,11114,10000000,50000
2020-03-01,product138,8,41051,328408,197672,11057,10688,11857,231274,97134,23800,10000000,50000
2020-11-09,product139,9,57761,519849,325005,24313,35978,14524,399820,120029,60525,10000000,50000
2020-08-14,product140,9,92743,834687,552091,25570,30393,17489,625543,209144,119763,10000000,50000
2020-06-04,product141,2,56158,112316,73073,2864,7259,3823,87019,25297,9289,10000000,50000
2020-08-16,product142,1,89548,89548,48276,2642,3588,4134,58640,30908,7905,10000000,50000
2020-10-06,product143,10,57587,575870,307796,16460,43102,11660,379018,196852,56165,10000000,50000
2020-01-16,product144,8,33290,266320,176504,5550,8696,5440,196190,70130,21483,10000000,50000
2020-10-16,product145,7,24790,173530,110615,3371,5391,3836,123213,50317,24459,10000000,50000
2020-03-17,product146,4,8371,33484,18965,1490,1802,1111,23368,10116,2737,10000000,50000
2020-11-04,product147,9,92397,831573,557565,15803,63316,26766,663450,168123,124375,10000000,50000
2020-01-22,product148,1,58080,58080,37070,2067,4195,1913,45245,12835,7084,10000000,50000
2020-11-22,product149,3,97221,291663,159553,6991,10265,12141,188950,102713,29414,10000000,50000
2020-10-09,product150,7,37578,263046,139725,13044,14162,9757,176688,86358,34909,10000000,50000
2020-12-08,product151,8,60132,481056,309378,18115,33211,14340,375044,106012,53196,10000000,50000
2020-04-02,product152,2,78067,156134,88736,5262,5919,7309,107226,48908,12666,10000000,50000
2020-11-24,product153,2,95355,190710,131185,4313,14339,8048,157885,32825,24057,10000000,50000
2020-12-07,product154,8,10168,81344,46547,1918,3560,2842,54867,26477,6685,10000000,50000
2020-02-26,product155,2,26884,53768,28073,1636,4251,1268,35228,18540,4166,10000000,50000
2020-08-09,product156,5,61939,309695,201679,14061,15500,14176,245416,64279,43145,10000000,50000
2020-11-20,product157,7,42508,297556,188556,13645,19468,9742,231411,66145,30158,10000000,50000
2020-07-02,product158,2,99744,199488,129464,8831,15588,8627,162510,36978,32033,10000000,50000
2020-12-17,product159,2,13758,27516,14122,508,1548,578,16756,10760,2660,10000000,50000
2020-10-02,product160,10,53125,531250,267234,8678,38789,16129,330830,200420,33967,10000000,50000
2020-09-04,product161,10,11914,119140,75964,3492,5774,4269,89499,29641,10196,10000000,50000
2020-02-19,product162,9,94271,848439,563989,15229,61783,22604,663605,184834,101704,10000000,50000
2020-12-04,product163,2,37485,74970,43645,1702,3215,2944,51506,23464,6036,10000000,50000
2020-12-21,product164,1,17877,17877,9177,757,1091,386,11411,6466,1463,10000000,50000
2020-02-14,product165,6,11669,70014,42190,2873,4260,2688,52011,18003,7857,10000000,50000
2020-04-28,product166,10,80196,801960,419012,25272,45980,35973,526237,275723,77971,10000000,50000
2020-02-28,product167,10,84011,840110,439208,24290,31201,27232,521931,318179,57231,10000000,50000
2020-03-21,product168,6,44794,268764,155875,5442,12136,10687,184140,84624,25649,10000000,50000
2020-03-31,product169,6,27738,166428,103384,6832,5833,3943,119992,46436,13708,10000000,50000
2020-10-24,product170,8,75771,606168,391326,18015,32030,27374,468745,137423,79832,10000000,50000
2020-06-25,product171,3,30395,91185,50979,1791,3922,3581,60273,30912,9527,10000000,50000
2020-12-26,product172,2,14524,29048,16619,937,1308,765,19629,9419,3009,10000000,50000
2020-03-11,product173,9,89843,808587,453796,28326,35981,39974,558077,250510,69239,10000000,50000
2020-05-07,product174,2,60870,121740,78629,5527,8324,5427,97907,23833,10156,10000000,50000
2020-01-01,product175,5,64803,324015,207055,16178,11387,7792,242412,81603,36147,10000000,50000
2020-08-27,product176,10,78952,789520,514008,12201,52567,31845,610621,178899,95296,10000000,50000
2020-08-16,product177,8,58628,469024,297457,21370,20266,19832,358925,110099,43644,10000000,50000
2020-02-26,product178,2,64255,128510,85788,4318,8429,3206,101741,26769,13554,10000000,50000
2020-04-01,product179,7,50609,354263,188783,8287,17968,14379,229417,124846,35519,10000000,50000
2020-01-10,product180,5,86206,431030,276940,15396,28769,13979,335084,95946,42965,10000000,50000
2020-12-11,product181,5,8762,43810,27420,997,2627,994,32038,11772,6103,10000000,50000
2020-12-05,product182,3,21427,64281,43291,2608,4130,2067,52096,12185,5520,10000000,50000
2020-01-27,product183,4,83660,334640,203087,14397,18330,13053,248867,85773,42935,10000000,50000
2020-11-26,product184,3,64443,193329,117711,7018,14488,4164,143381,49948,26985,10000000,50000
2020-10-03,product185,8,86034,688272,414837,11276,46166,28297,500576,187696,64203,10000000,50000
2020-11-25,product186,2,16311,32622,17702,1238,2035,949,21924,10698,3354,10000000,50000
2020-08-17,product187,3,47302,141906,76688,2454,8240,6514,93896,48010,13210,10000000,50000
2020-11-21,product188,4,62141,248564,153958,7200,9548,5272,175978,72586,26490,10000000,50000
2020-01-26,product189,9,30673,276057,169768,10445,19692,8382,208287,67770,27195,10000000,50000
2020-05-11,product190,10,71009,710090,411034,25155,52400,29534,518123,191967,88056,10000000,50000
2020-03-14,product191,7,80151,561057,306192,24558,42450,13730,386930,174127,75466,10000000,50000
2020-10-03,product192,7,13749,96243,55181,1584,6281,3596,66642,29601,7990,10000000,50000
2020-03-08,product193,8,71755,574040,310320,11067,26268,26199,373854,200186,70572,10000000,50000
2020-02-19,product194,10,62233,622330,345071,21142,19884,22698,408795,213535,58745,10000000,50000
2020-04-25,product195,2,94987,189974,98022,8685,7904,8777,123388,66586,23104,10000000,50000
2020-12-05,product196,6,57582,345492,227537,9224,20581,7711,265053,80439,40006,10000000,50000
2020-07-19,product197,9,28317,254853,140437,6377,7877,12045,166736,88117,24008,10000000,50000
2020-03-07,product198,4,26932,107728,60394,2411,6037,3573,72415,35313,12965,10000000,50000
2020-10-22,product199,7,29733,208131,141140,9147,15045,6668,172000,36131,24778,10000000,50000
2020-07-18,product200,1,52089,52089,30191,1336,2391,1175,35093,16996,6214,10000000,50000
2020-06-09,product201,8,6542,52336,29498,1812,2663,1970,35943,16393,5758,10000000,50000
2020-07-01,product202,1,42994,42994,23310,1204,2693,1593,28800,14194,3110,10000000,50000
2020-06-28,product203,2,76272,152544,97926,4632,5294,6512,114364,38180,18206,10000000,50000
2020-03-28,product204,3,90245,270735,188063,12222,19844,6465,226594,44141,35948,10000000,50000
2020-12-03,product205,8,85308,682464,379492,10342,38232,19703,447769,234695,56850,10000000,50000
2020-12-29,product206,5,95226,476130,271304,9445,35656,17615,334020,142110,33489,10000000,50000
2020-02-20,product207,7,9118,63826,34368,2384,1964,2984,41700,22126,4908,10000000,50000
2020-02-02,product208,6,16193,97158,52668,4168,3991,4687,65514,31644,8833,10000000,50000
2020-09-12,product209,9,24193,217737,152126,6255,8829,10481,177691,40046,19539,10000000,50000
2020-07-19,product210,6,11493,68958,39435,2565,5360,1393,48753,20205,7255,10000000,50000
2020-03-26,product211,7,12186,85302,56268,2541,6356,3040,68205,17097,8603,10000000,50000
2020-10-28,product212,6,46601,279606,169876,7349,15539,7371,200135,79471,20904,10000000,50000
2020-05-31,product213,5,47627,238135,130831,4948,15338,7118,158235,79900,28232,10000000,50000
2020-01-07,product214,9,59464,535176,339072,10095,35333,12123,396623,138553,41151,10000000,50000
2020-04-15,product215,6,93128,558768,300197,19184,41142,23427,383950,174818,75780,10000000,50000
2020-02-20,product216,1,72207,72207,38647,1860,2578,2434,45519,26688,8246,10000000,50000
2020-02-12,product217,10,68374,683740,352459,27526,24210,13951,418146,265594,55455,10000000,50000
2020-07-10,product218,4,22287,89148,55889,2447,3864,3962,66162,22986,12736,10000000,50000
2020-05-08,product219,7,87322,611254,414444,16344,22939,14222,467949,143305,93080,10000000,50000
2020-09-15,product220,6,63672,382032,252293,11575,22320,18299,304487,77545,55710,10000000,50000
2020-12-16,product221,8,69186,553488,324540,11343,31413,22684,389980,163508,69978,10000000,50000
2020-09-21,product222,7,61088,427616,238700,16910,32666,19033,307309,120307,46353,10000000,50000
2020-05-29,product223,9,81208,730872,430132,26466,36473,22080,515151,215721,98523,10000000,50000
2020-11-15,product224,10,90038,900380,553491,30405,71923,42644,698463,201917,115868,10000000,50000
2020-12-29,product225,3,63260,189780,115166,7359,6410,5375,134310,55470,17387,10000000,50000
2020-02-23,product226,9,61272,551448,335495,15108,43512,11384,405499,145949,68161,10000000,50000
2020-01-17,product227,5,58522,292610,185335,8277,17082,6274,216968,75642,22859,10000000,50000
2020-07-20,product228,8,95516,764128,448580,31449,47022,23057,550108,214020,90156,10000000,50000
2020-12-28,product229,5,12141,60705,39693,1386,4438,2253,47770,12935,7416,10000000,50000
2020-03-26,product230,7,22373,156611,102345,4685,10281,4403,121714,34897,20352,10000000,50000
2020-03-21,product231,4,76689,306756,177489,10220,15149,14936,217794,88962,35470,10000000,50000
2020-09-15,product232,2,31463,62926,33636,1829,4975,2867,43307,19619,8108,10000000,50000
2020-01-14,product233,3,25340,76020,50693,2777,5180,2935,61585,14435,11800,10000000,50000
2020-12-31,product234,10,85209,852090,493182,37714,41954,37037,609887,242203,113365,10000000,50000
2020-06-02,product235,6,85956,515736,276295,11600,36699,19640,344234,171502,65340,10000000,50000
2020-01-07,product236,5,65606,328030,174124,8309,20155,15275,217863,110167,34714,10000000,50000
2020-03-22,product237,3,22758,68274,43969,1338,4018,2358,51683,16591,6888,10000000,50000
2020-11-16,product238,10,59602,596020,335464,10211,26400,22099,394174,201846,42055,10000000,50000
2020-03-20,product239,7,7208,50456,31079,2120,2662,2280,38141,12315,4057,10000000,50000
2020-06-29,product240,8,15360,122880,66438,2971,8666,4043,82118,40762,10432,10000000,50000
2020-09-11,product241,3,74294,222882,131525,4957,14912,6246,157640,65242,17747,10000000,50000
2020-02-17,product242,3,30063,90189,60735,2686,3851,1884,69156,21033,13175,10000000,50000
2020-11-19,product243,4,36033,144132,74229,3496,6801,6526,91052,53080,17422,10000000,50000
2020-12-31,product244,5,43446,217230,134939,8175,9745,9933,162792,54438,28575,10000000,50000
2020-03-29,product245,9,77786,700074,469624,14529,53864,33159,571176,128898,92617,10000000,50000
2020-12-16,product246,2,25720,51440,33463,1502,1707,1807,38479,12961,6143,10000000,50000
2020-07-24,product247,8,14880,119040,59618,2100,7076,3941,72735,46305,14278,10000000,50000
2020-01-02,product248,9,73363,660267,457657,25606,32444,30436,546143,114124,57155,10000000,50000
2020-03-31,product249,1,65224,65224,36876,2439,4733,1605,45653,19571,7214,10000000,50000
2020-10-04,product250,7,85644,599508,394460,9959,24396,22318,451133,148375,56897,10000000,50000
2020-09-20,product251,2,64952,129904,69533,4849,5054,3104,82540,47364,14950,10000000,50000
2020-02-17,product252,3,93335,280005,181453,8155,17798,12089,219495,60510,31359,10000000,50000
2020-01-05,product253,8,93892,751136,510098,23006,53823,36234,623161,127975,97998,10000000,50000
2020-09-08,product254,6,38487,230922,136220,11226,10276,11156,168878,62044,17836,10000000,50000
2020-09-06,product255,6,9400,56400,34524,2691,3479,2110,42804,13596,7510,10000000,50000
2020-03-29,product256,5,54135,270675,172538,11816,16541,7788,208683,61992,30195,10000000,50000
2020-09-01,product257,6,50994,305964,194352,6754,9945,11847,222898,83066,25147,10000000,50000
2020-08-19,product258,2,5192,10384,6548,444,541,463,7996,2388,1024,10000000,50000
2020-03-21,product259,8,31897,255176,160015,5030,17044,7871,189960,65216,21701,10000000,50000
2020-10-26,product260,10,77976,779760,447837,15837,45033,26051,534758,245002,105496,10000000,50000
2020-10-21,product261,9,47310,425790,295337,20319,18833,8807,343296,82494,38780,10000000,50000
2020-10-04,product262,1,9939,9939,5872,340,783,464,7459,2480,1009,10000000,50000
2020-11-22,product263,2,75865,151730,84280,6509,9816,5829,106434,45296,16386,10000000,50000
2020-11-05,product264,2,26339,52678,27941,1917,1810,1850,33518,19160,3385,10000000,50000
2020-11-20,product265,10,24292,242920,121861,10128,16761,9364,158114,84806,25092,10000000,50000
2020-01-07,product266,7,76676,536732,331410,13706,39591,15445,400152,136580,70787,10000000,50000
2020-03-03,product267,2,68720,137440,73560,2463,4874,5661,86558,50882,9095,10000000,50000
2020-04-10,product268,10,49820,498200,296119,13424,39711,15594,364848,133352,67153,10000000,50000
2020-05-24,product269,7,40983,286881,182729,12832,22191,7176,224928,61953,28982,10000000,50000
2020-05-25,product270,5,99642,498210,347074,19639,30715,17976,415404,82806,53704,10000000,50000
2020-04-03,product271,7,34019,238133,149156,6166,18298,7669,181289,56844,35481,10000000,50000
2020-10-20,product272,6,17219,103314,66226,4982,3539,2900,77647,25667,14991,10000000,50000
2020-09-28,product273,6,59990,359940,226975,12570,15016,16737,271298,88642,53124,10000000,50000
2020-07-11,product274,3,55188,165564,109094,5490,8232,7443,130259,35305,23268,10000000,50000
2020-07-02,product275,2,9753,19506,9905,294,1082,945,12226,7280,1951,10000000,50000
2020-09-20,product276,1,31936,31936,18726,591,1403,1346,22066,9870,2825,10000000,50000
2020-08-06,product277,1,96068,96068,49600,4044,5836,4434,63914,32154,7102,10000000,50000
2020-02-04,product278,9,85626,770634,501085,28679,34870,36915,601549,169085,72262,10000000,50000
2020-12-31,product279,3,15537,46611,25299,1138,1803,1795,30035,16576,5700,10000000,50000
2020-02-10,product280,7,9138,63966,41610,3139,1959,1938,48646,15320,4881,10000000,50000
2020-04-28,product281,2,49954,99908,69905,4236,6651,3625,84417,15491,10274,10000000,50000
2020-07-11,product282,1,92132,92132,51698,4183,5831,3733,65445,26687,12035,10000000,50000
2020-01-21,product283,9,83191,748719,520924,29504,23040,31567,605035,143684,84908,10000000,50000
2020-01-27,product284,7,76594,536158,319309,19355,26778,16955,382397,153761,56678,10000000,50000
2020-03-10,product285,10,65189,651890,449223,21385,27355,20967,518930,132960,82300,10000000,50000
2020-05-20,product286,4,23072,92288,56165,3901,6224,3641,69931,22357,10895,10000000,50000
2020-06-08,product287,2,41822,83644,50019,4085,3632,3436,61172,22472,6811,10000000,50000
2020-10-25,product288,5,60892,304460,153357,12366,15673,12656,194052,110408,22521,10000000,50000
2020-10-24,product289,6,61307,367842,239000,13500,29215,15215,296930,70912,43640,10000000,50000
2020-11-05,product290,10,24238,242380,165392,5223,17917,11963,200495,41885,29971,10000000,50000
2020-07-24,product291,2,20354,40708,22454,1493,1654,2003,27604,13104,4756,10000000,50000
2020-06-03,product292,5,8771,43855,24310,960,2249,1214,28733,15122,4718,10000000,50000
2020-02-03,product293,6,38233,229398,136987,5115,10215,9191,161508,67890,25189,10000000,50000
2020-08-20,product294,5,29713,148565,98456,6167,6693,4297,115613,32952,12748,10000000,50000
2020-10-16,product295,5,78491,392455,252516,11610,29942,10614,304682,87773,34898,10000000,50000
2020-08-22,product296,1,25392,25392,15674,536,1745,745,18700,6692,2899,10000000,50000
2020-03-16,product297,3,71721,215163,107957,9182,15138,6215,138492,76671,27474,10000000,50000
2020-07-04,product298,6,64298,385788,268354,13322,30062,13210,324948,60840,42258,10000000,50000
2020-06-04,product299,7,9719,68033,46038,2082,3141,1455,52716,15317,9886,10000000,50000
2020-09-07,product300,1,66912,66912,41017,2263,3546,2576,49402,17510,9801,10000000,50000
