Date,Product_Name,Units_sold,Price,Revenue,Costs_Of_Goods,Marketing_Cost,Logistic_Cost,Other_Cost,Total_Cost,Net_Profit,Operating_Expenses,Initial_Investment,Current_Cash
2024-03-16,Palazzo Set,2,1400.0,2800,780.0,195.0,195.0,130.0,1300,1500,325.0,5000000,98800
2024-03-18,Silk Saree,1,7800.0,7800,2220.0,555.0,555.0,370.0,3700,4100,925.0,5000000,102900
2024-03-20,Casual Kurti,2,1200.0,2400,660.0,165.0,165.0,110.0,1100,1300,275.0,5000000,104200
2024-03-22,Anarkali Set,1,8200.0,8200,2340.0,585.0,585.0,390.0,3900,4300,975.0,5000000,108500
2024-03-24,Handloom Stole,2,1300.0,2600,660.0,165.0,165.0,110.0,1100,1500,275.0,5000000,110000
2024-03-26,Bridal Dupatta,1,4500.0,4500,1260.0,315.0,315.0,210.0,2100,2400,525.0,5000000,112400
2024-03-28,Ethnic Jacket,1,4800.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,114900
2024-03-30,Premium Kurta,1,5200.0,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,117600
2024-04-02,Summer Kurti,3,933.33,2800,780.0,195.0,195.0,130.0,1300,1500,325.0,5000000,119100
2024-04-04,Cotton Saree,1,4200.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,121300
2024-04-06,Linen Palazzo,2,1100.0,2200,600.0,150.0,150.0,100.0,1000,1200,250.0,5000000,122500
2024-04-08,Light Dupatta,4,275.0,1100,270.0,67.5,67.5,45.0,450,650,112.5,5000000,123150
2024-04-10,Eid Special Kurta,1,6800.0,6800,1920.0,480.0,480.0,320.0,3200,3600,800.0,5000000,126750
2024-04-12,Embroidered Saree,1,11000.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,132550
2024-04-14,Casual Kurti Pack,3,1400.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,134750
2024-04-16,Designer Stole,2,900.0,1800,450.0,112.5,112.5,75.0,750,1050,187.5,5000000,135800
2024-04-18,Summer Anarkali,1,5800.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,138800
2024-04-20,Cotton Kurta,2,1600.0,3200,900.0,225.0,225.0,150.0,1500,1700,375.0,5000000,140500
2024-04-22,Festive Lehenga,1,16000.0,16000,4560.0,1140.0,1140.0,760.0,7600,8400,1900.0,5000000,148900
2024-04-24,Linen Kurti,2,1300.0,2600,720.0,180.0,180.0,120.0,1200,1400,300.0,5000000,150300
2024-04-26,Block Print Saree,1,5500.0,5500,1560.0,390.0,390.0,260.0,2600,2900,650.0,5000000,153200
2024-04-28,Silk Dupatta,2,1100.0,2200,570.0,142.5,142.5,95.0,950,1250,237.5,5000000,154450
2024-04-30,Premium Anarkali,1,7200.0,7200,2040.0,510.0,510.0,340.0,3400,3800,850.0,5000000,158250
2024-05-02,Summer Kurta Set,2,2400.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,160750
2024-05-04,Printed Saree,1,4600.0,4600,1320.0,330.0,330.0,220.0,2200,2400,550.0,5000000,163150
2024-05-06,Cotton Palazzo,3,600.0,1800,480.0,120.0,120.0,80.0,800,1000,200.0,5000000,164150
2024-05-08,Embroidered Kurti,1,3400.0,3400,960.0,240.0,240.0,160.0,1600,1800,400.0,5000000,165950
2024-05-10,Designer Kurta,1,5800.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,168950
2024-05-12,Handloom Saree,1,8800.0,8800,2520.0,630.0,630.0,420.0,4200,4600,1050.0,5000000,173550
2024-05-14,Light Stole,3,466.67,1400,348.0,87.0,87.0,58.0,580,820,145.0,5000000,174370
2024-05-16,Summer Anarkali,1,6200.0,6200,1800.0,450.0,450.0,300.0,3000,3200,750.0,5000000,177570
2024-05-18,Linen Kurti Pack,2,2400.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,180070
2024-05-20,Cotton Dupatta,3,433.33,1300,324.0,81.0,81.0,54.0,540,760,135.0,5000000,180830
2024-05-22,Bridal Lehenga,1,24000.0,24000,6900.0,1725.0,1725.0,1150.0,11500,12500,2875.0,5000000,193330
2024-05-24,Casual Kurta,3,933.33,2800,780.0,195.0,195.0,130.0,1300,1500,325.0,5000000,194830
2024-05-26,Printed Kurti,2,1200.0,2400,660.0,165.0,165.0,110.0,1100,1300,275.0,5000000,196130
2024-05-28,Silk Saree,1,9200.0,9200,2640.0,660.0,660.0,440.0,4400,4800,1100.0,5000000,200930
2024-05-30,Designer Set,1,7600.0,7600,2160.0,540.0,540.0,360.0,3600,4000,900.0,5000000,204930
2024-06-02,Monsoon Kurti,2,1600.0,3200,900.0,225.0,225.0,150.0,1500,1700,375.0,5000000,206630
2024-06-04,Cotton Saree,1,4400.0,4400,1260.0,315.0,315.0,210.0,2100,2300,525.0,5000000,208930
2024-06-06,Printed Palazzo,3,666.67,2000,540.0,135.0,135.0,90.0,900,1100,225.0,5000000,210030
2024-06-08,Light Dupatta,4,300.0,1200,300.0,75.0,75.0,50.0,500,700,125.0,5000000,210730
2024-06-10,Embroidered Kurta,1,5600.0,5600,1620.0,405.0,405.0,270.0,2700,2900,675.0,5000000,213630
2024-06-12,Anarkali Suit,1,6800.0,6800,1920.0,480.0,480.0,320.0,3200,3600,800.0,5000000,217230
2024-06-14,Handloom Kurti,2,1800.0,3600,1020.0,255.0,255.0,170.0,1700,1900,425.0,5000000,219130
2024-06-16,Cotton Kurta Pack,3,1733.33,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,221830
2024-06-18,Block Print Saree,1,6200.0,6200,1800.0,450.0,450.0,300.0,3000,3200,750.0,5000000,225030
2024-06-20,Silk Stole,2,1050.0,2100,528.0,132.0,132.0,88.0,880,1220,220.0,5000000,226250
2024-06-22,Summer Lehenga,1,12000.0,12000,3420.0,855.0,855.0,570.0,5700,6300,1425.0,5000000,232550
2024-06-24,Designer Kurti,2,2100.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,234750
2024-06-26,Linen Saree,1,5800.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,237750
2024-06-28,Casual Stole,3,366.67,1100,270.0,67.5,67.5,45.0,450,650,112.5,5000000,238400
2024-06-30,Premium Kurta Set,1,6400.0,6400,1860.0,465.0,465.0,310.0,3100,3300,775.0,5000000,241700
2024-07-02,Teej Special Saree,1,8800.0,8800,2520.0,630.0,630.0,420.0,4200,4600,1050.0,5000000,246300
2024-07-04,Cotton Kurti,3,1000.0,3000,840.0,210.0,210.0,140.0,1400,1600,350.0,5000000,247900
2024-07-06,Embroidered Dupatta,2,1400.0,2800,720.0,180.0,180.0,120.0,1200,1600,300.0,5000000,249500
2024-07-08,Monsoon Anarkali,1,5500.0,5500,1560.0,390.0,390.0,260.0,2600,2900,650.0,5000000,252400
2024-07-10,Designer Kurta,1,6200.0,6200,1800.0,450.0,450.0,300.0,3000,3200,750.0,5000000,255600
2024-07-12,Handloom Saree,1,9800.0,9800,2820.0,705.0,705.0,470.0,4700,5100,1175.0,5000000,260700
2024-07-14,Casual Palazzo,3,733.33,2200,600.0,150.0,150.0,100.0,1000,1200,250.0,5000000,261900
2024-07-16,Silk Kurti,1,4800.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,264400
2024-07-18,Festive Kurta Set,1,7200.0,7200,2040.0,510.0,510.0,340.0,3400,3800,850.0,5000000,268200
2024-07-20,Cotton Stole,3,433.33,1300,324.0,81.0,81.0,54.0,540,760,135.0,5000000,268960
2024-07-22,Bridal Lehenga,1,26000.0,26000,7500.0,1875.0,1875.0,1250.0,12500,13500,3125.0,5000000,282460
2024-07-24,Printed Saree,1,5200.0,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,285160
2024-07-26,Embroidered Kurti,2,1900.0,3800,1080.0,270.0,270.0,180.0,1800,2000,450.0,5000000,287160
2024-07-28,Designer Stole,2,1100.0,2200,552.0,138.0,138.0,92.0,920,1280,230.0,5000000,288440
2024-07-30,Premium Anarkali,1,8400.0,8400,2400.0,600.0,600.0,400.0,4000,4400,1000.0,5000000,292840
2024-08-02,Independence Sale Kurta,3,1400.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,295040
2024-08-04,Silk Saree,1,10500.0,10500,3000.0,750.0,750.0,500.0,5000,5500,1250.0,5000000,300540
2024-08-06,Cotton Kurti Pack,4,1400.0,5600,1620.0,405.0,405.0,270.0,2700,2900,675.0,5000000,303440
2024-08-08,Janmashtami Lehenga,1,14000.0,14000,4020.0,1005.0,1005.0,670.0,6700,7300,1675.0,5000000,310740
2024-08-10,Embroidered Set,1,8800.0,8800,2520.0,630.0,630.0,420.0,4200,4600,1050.0,5000000,315340
2024-08-12,Handloom Saree,1,7200.0,7200,2040.0,510.0,510.0,340.0,3400,3800,850.0,5000000,319140
2024-08-14,Designer Dupatta,2,1600.0,3200,840.0,210.0,210.0,140.0,1400,1800,350.0,5000000,320940
2024-08-16,Festive Kurta,2,2900.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,323940
2024-08-18,Silk Palazzo,2,1700.0,3400,960.0,240.0,240.0,160.0,1600,1800,400.0,5000000,325740
2024-08-20,Anarkali Suit,1,7800.0,7800,2220.0,555.0,555.0,370.0,3700,4100,925.0,5000000,329840
2024-08-22,Cotton Saree,1,5200.0,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,332540
2024-08-24,Casual Kurti,3,933.33,2800,780.0,195.0,195.0,130.0,1300,1500,325.0,5000000,334040
2024-08-26,Premium Stole,2,1300.0,2600,660.0,165.0,165.0,110.0,1100,1500,275.0,5000000,335540
2024-08-28,Designer Kurta Set,1,9200.0,9200,2640.0,660.0,660.0,440.0,4400,4800,1100.0,5000000,340340
2024-08-30,Embroidered Saree,1,12000.0,12000,3420.0,855.0,855.0,570.0,5700,6300,1425.0,5000000,346640
2024-09-02,Navratri Lehenga,1,18000.0,18000,5160.0,1290.0,1290.0,860.0,8600,9400,2150.0,5000000,356040
2024-09-04,Garba Chaniya Choli,1,9500.0,9500,2700.0,675.0,675.0,450.0,4500,5000,1125.0,5000000,361040
2024-09-06,Festive Kurti,3,1600.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,363540
2024-09-08,Embroidered Dupatta,2,1750.0,3500,900.0,225.0,225.0,150.0,1500,2000,375.0,5000000,365540
2024-09-10,Navratri Kurta,2,2600.0,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,368240
2024-09-12,Silk Lehenga,1,22000.0,22000,6300.0,1575.0,1575.0,1050.0,10500,11500,2625.0,5000000,379740
2024-09-14,Designer Saree,1,14000.0,14000,4020.0,1005.0,1005.0,670.0,6700,7300,1675.0,5000000,387040
2024-09-16,Cotton Chaniya,2,3400.0,6800,1920.0,480.0,480.0,320.0,3200,3600,800.0,5000000,390640
2024-09-18,Festive Kurta Set,1,8800.0,8800,2520.0,630.0,630.0,420.0,4200,4600,1050.0,5000000,395240
2024-09-20,Silk Dupatta,3,1266.67,3800,990.0,247.5,247.5,165.0,1650,2150,412.5,5000000,397390
2024-09-22,Bridal Lehenga,1,32000.0,32000,9120.0,2280.0,2280.0,1520.0,15200,16800,3800.0,5000000,414190
2024-09-24,Anarkali Set,1,9200.0,9200,2640.0,660.0,660.0,440.0,4400,4800,1100.0,5000000,418990
2024-09-26,Handloom Saree,1,11000.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,424790
2024-09-28,Designer Stole,2,1400.0,2800,720.0,180.0,180.0,120.0,1200,1600,300.0,5000000,426390
2024-09-30,Premium Kurta,2,3600.0,7200,2040.0,510.0,510.0,340.0,3400,3800,850.0,5000000,430190
2024-10-02,Dussehra Special Set,1,12000.0,12000,3420.0,855.0,855.0,570.0,5700,6300,1425.0,5000000,436490
2024-10-04,Embroidered Lehenga,1,28000.0,28000,8040.0,2010.0,2010.0,1340.0,13400,14600,3350.0,5000000,451090
2024-10-06,Festive Saree,1,9800.0,9800,2820.0,705.0,705.0,470.0,4700,5100,1175.0,5000000,456190
2024-10-08,Designer Kurta Pack,2,5500.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,461990
2024-10-10,Silk Anarkali,1,10500.0,10500,3000.0,750.0,750.0,500.0,5000,5500,1250.0,5000000,467490
2024-10-12,Dhanteras Saree,1,15000.0,15000,4320.0,1080.0,1080.0,720.0,7200,7800,1800.0,5000000,475290
2024-10-14,Diwali Kurta Set,2,7000.0,14000,4020.0,1005.0,1005.0,670.0,6700,7300,1675.0,5000000,482590
2024-10-16,Embroidered Dupatta,3,1400.0,4200,1080.0,270.0,270.0,180.0,1800,2400,450.0,5000000,484990
2024-10-18,Diwali Lehenga,1,35000.0,35000,10080.0,2520.0,2520.0,1680.0,16800,18200,4200.0,5000000,503190
2024-10-20,Festive Kurti Pack,4,2200.0,8800,2520.0,630.0,630.0,420.0,4200,4600,1050.0,5000000,507790
2024-10-22,Designer Saree,1,16000.0,16000,4560.0,1140.0,1140.0,760.0,7600,8400,1900.0,5000000,516190
2024-10-24,Silk Kurta,2,4100.0,8200,2340.0,585.0,585.0,390.0,3900,4300,975.0,5000000,520490
2024-10-26,Diwali Special Set,1,22000.0,22000,6300.0,1575.0,1575.0,1050.0,10500,11500,2625.0,5000000,531990
2024-10-28,Premium Stole,3,1066.67,3200,840.0,210.0,210.0,140.0,1400,1800,350.0,5000000,533790
2024-10-30,Bridal Lehenga,1,38000.0,38000,10920.0,2730.0,2730.0,1820.0,18200,19800,4550.0,5000000,553590
2024-11-02,Post-Diwali Sale Kurta,4,1450.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,556590
2024-11-04,Winter Shawl,2,1800.0,3600,960.0,240.0,240.0,160.0,1600,2000,400.0,5000000,558590
2024-11-06,Embroidered Set,1,9200.0,9200,2640.0,660.0,660.0,440.0,4400,4800,1100.0,5000000,563390
2024-11-08,Woolen Stole,3,933.33,2800,720.0,180.0,180.0,120.0,1200,1600,300.0,5000000,564990
2024-11-10,Wedding Saree,1,18000.0,18000,5160.0,1290.0,1290.0,860.0,8600,9400,2150.0,5000000,574390
2024-11-12,Designer Kurta,1,7200.0,7200,2040.0,510.0,510.0,340.0,3400,3800,850.0,5000000,578190
2024-11-14,Silk Dupatta,2,1700.0,3400,888.0,222.0,222.0,148.0,1480,1920,370.0,5000000,580110
2024-11-16,Winter Lehenga,1,20000.0,20000,5760.0,1440.0,1440.0,960.0,9600,10400,2400.0,5000000,590510
2024-11-18,Embroidered Kurti,2,2300.0,4600,1320.0,330.0,330.0,220.0,2200,2400,550.0,5000000,592910
2024-11-20,Wedding Kurta Set,1,14000.0,14000,4020.0,1005.0,1005.0,670.0,6700,7300,1675.0,5000000,600210
2024-11-22,Velvet Stole,2,2100.0,4200,1092.0,273.0,273.0,182.0,1820,2380,455.0,5000000,602590
2024-11-24,Festive Anarkali,1,11000.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,608390
2024-11-26,Designer Saree,1,15000.0,15000,4320.0,1080.0,1080.0,720.0,7200,7800,1800.0,5000000,616190
2024-11-28,Winter Kurta,2,3100.0,6200,1800.0,450.0,450.0,300.0,3000,3200,750.0,5000000,619390
2024-11-30,Premium Shawl,1,5800.0,5800,1500.0,375.0,375.0,250.0,2500,3300,625.0,5000000,622690
2024-12-02,Wedding Lehenga,1,42000.0,42000,12120.0,3030.0,3030.0,2020.0,20200,21800,5050.0,5000000,644490
2024-12-04,Silk Saree,1,12000.0,12000,3420.0,855.0,855.0,570.0,5700,6300,1425.0,5000000,650790
2024-12-06,Winter Kurta Pack,3,3266.67,9800,2820.0,705.0,705.0,470.0,4700,5100,1175.0,5000000,655890
2024-12-08,Embroidered Set,1,11000.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,661690
2024-12-10,Designer Shawl,2,3400.0,6800,1770.0,442.5,442.5,295.0,2950,3850,737.5,5000000,665540
2024-12-12,Bridal Lehenga,1,45000.0,45000,12960.0,3240.0,3240.0,2160.0,21600,23400,5400.0,5000000,688940
2024-12-14,Christmas Kurta,3,1733.33,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,691640
2024-12-16,Silk Anarkali,1,12000.0,12000,3420.0,855.0,855.0,570.0,5700,6300,1425.0,5000000,697940
2024-12-18,Velvet Dupatta,2,2400.0,4800,1248.0,312.0,312.0,208.0,2080,2720,520.0,5000000,700660
2024-12-20,Wedding Saree,1,20000.0,20000,5760.0,1440.0,1440.0,960.0,9600,10400,2400.0,5000000,711060
2024-12-22,Designer Kurta Set,1,15000.0,15000,4320.0,1080.0,1080.0,720.0,7200,7800,1800.0,5000000,718860
2024-12-24,Premium Lehenga,1,38000.0,38000,10920.0,2730.0,2730.0,1820.0,18200,19800,4550.0,5000000,738660
2024-12-26,Winter Anarkali,1,9200.0,9200,2640.0,660.0,660.0,440.0,4400,4800,1100.0,5000000,743460
2024-12-28,New Year Saree,1,14000.0,14000,4020.0,1005.0,1005.0,670.0,6700,7300,1675.0,5000000,750760
2024-12-30,Festive Kurta Pack,2,5500.0,11000,3120.0,780.0,780.0,520.0,5200,5800,1300.0,5000000,756560
